"R0000100","R0536300","R0536402","R1482600","R2563600","R2568302","R3508600","R3510500","R3511300","R3516200","R3516900","R3517700","R3518200","R3519200","R4907500","Z9060800"
186,2,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
187,1,1983,2,1,1998,30,0,0,3,10,-4,-4,-4,0,28
188,2,1980,4,4,1998,30,0,0,-4,-4,-4,-4,-4,-5,50
189,2,1984,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,5,0
190,1,1983,4,4,1998,30,-4,-4,-4,-4,-4,-4,-4,0,0
191,1,1982,4,6,1998,29,-4,0,1,2,-4,-4,99,-5,0
192,2,1982,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,14
193,2,1981,1,4,1998,-5,-5,-5,-5,-5,-5,-5,-5,5,20
194,2,1980,2,10,1999,7,0,-4,-4,-4,-4,-4,-4,1,38
195,1,1983,1,4,1998,30,0,-4,-4,-4,-4,-4,-4,2,0
196,1,1984,2,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
197,2,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,52
198,2,1980,4,8,1998,30,0,-4,-4,-4,-4,-4,-4,4,18
199,1,1982,4,5,1998,30,15,0,15,15,1,10,99,8,13
200,1,1980,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,10
201,2,1983,4,1,1998,4,0,-4,1,26,-4,-4,-4,3,2
202,1,1982,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,2,28
203,2,1984,4,1,1999,1,-4,-4,20,30,-4,-4,-4,2,0
204,2,1981,4,4,1998,30,-4,-4,-4,-4,-4,-4,-4,10,44
205,2,1983,4,4,1998,7,-4,-4,-4,-4,-4,-4,-4,-4,0
206,1,1982,4,1,1998,3,-4,-4,-4,-4,-4,-4,-4,4,17
207,2,1981,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,15,48
208,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,0
209,1,1983,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,0
210,1,1984,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
211,2,1980,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,5,0
212,1,1980,2,1,1999,20,-4,-4,-4,-4,-4,-4,-4,10,49
213,2,1982,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,1,0
214,2,1982,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,8
215,1,1981,2,4,1999,30,-4,-4,-4,-4,-4,-4,-4,-4,10
216,2,1980,2,10,1999,30,-4,-4,-4,-4,-4,-4,-4,2,0
217,2,1982,2,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-4,5
218,1,1983,2,1,1999,-4,-4,-4,-4,-4,-4,1,-4,-4,7
219,1,1982,3,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,9
220,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
221,2,1984,4,2,1998,30,-4,-4,5,12,-4,3,-4,-4,0
222,1,1981,2,1,1998,30,-4,-4,-4,-4,-4,-4,25,10,51
223,1,1981,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,50
224,2,1982,4,5,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
225,1,1980,4,10,1999,10,-4,-4,-4,-4,-4,-4,-4,-4,52
